Continent,Region/Plate,Archaeological Grouping,Country,State (or the like),Group Serial,Source General,Source Common Name,Obsidian Age,Secondary Age,Ages Average,Formation Type,Boundary Activity,Boundary Type,Crust Type,Normative Occurrence,Latitude,Longitude,Loc. Notes,Conservative Grouping,Hypothetical Grouping,Tool Quality,Type,Geology,Ethnominerology,Other Names,Bibliographies,,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Oromia,G-ETH015,Bora,Bora,,2.6-0,1.3,Pyroclastic Cone,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,8.192,38.993,,,Main Ethiopia RIft,,Obsidian,,,"""Literature suggests an alternate name for this source may include Bora'at (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Shackley, Steven M., and Yonatan Sahle. 2017. Geochemical Characterization of Four Quaternary Obsidian Sources and Provenance of Obsidian Artifacts from the Middle Stone Age Site of Gademotta, Main Ethiopian RIft. Geoarchaeology: An International Journal 32:302-310. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC. ; Woldegabriel, Giday, James L. Aronson, and Robert C. Walter. 1990. Geology, Geochronology, and RIft Basin Development in the Central Sector of the Main Ethiopia Rift. Geology Society of America Bulletin 102:439-458.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Afar,G-ETH016,Da'Ure,Da'Ure,,0.01-0.15,0.08,Composite Volcano,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,12.616,40.461,LOCATION ONLY,,Afar Triangle,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Field, L., J. Blundy, A. Calvert, and G. Yirgu. 2013. Magmatic History of Dabbahu, a Composite Volcano in the Afar Rift, Ethiopia. Geological Society of America 125(1-2):128-147.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Afar,G-ETH017,Dabbahu,Dabbahu,,0.01-0.15,0.08,Composite Volcano,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,12.606,40.474,LOCATION ONLY,,Afar Triangle,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Field, L., J. Blundy, A. Calvert, and G. Yirgu. 2013. Magmatic History of Dabbahu, a Composite Volcano in the Afar Rift, Ethiopia. Geological Society of America 125(1-2):128-147.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Oromia,G-ETH018,Fantale,Fantale,,2.6-0,1.3,Stratovolcano,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,8.984,39.851,,,Main Ethiopia RIft,Low,Obsidian,"""Fentale obsidian, although widespread, is 'highly porphyritic and not of sufficiently good quality for producing artifacts' (Negash et al. 2007).""",,"""Literature suggests an alternate name for this source includes Fentale (IAOS World Source Catalog).""","""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Negash, Agazi, Mulugeta Alene, F. H. Brown, B. P. Nash, and M. S. Shackley. 2007. Geochemical Sources for the Terminal Pleistocene/Early Holocene Obsidian Artifacts of the Site of Beseka, Central Ethiopia. Journal of Archaeological Science 34:1205-1210. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC. ; Woldegabriel, Giday, James L. Aronson, and Robert C. Walter. 1990. Geology, Geochronology, and RIft Basin Development in the Central Sector of the Main Ethiopia Rift. Geology Society of America Bulletin 102:439-458.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Oromia,G-ETH019,Ficke,Ficke,,2.6-0,1.3,Caldera,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,7.56,38.495,,,Main Ethiopia RIft,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Shackley, Steven M., and Yonatan Sahle. 2017. Geochemical Characterization of Four Quaternary Obsidian Sources and Provenance of Obsidian Artifacts from the Middle Stone Age Site of Gademotta, Main Ethiopian RIft. Geoarchaeology: An International Journal 32:302-310. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC. ; Woldegabriel, Giday, James L. Aronson, and Robert C. Walter. 1990. Geology, Geochronology, and RIft Basin Development in the Central Sector of the Main Ethiopia Rift. Geology Society of America Bulletin 102:439-458.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Ethiopia,G-ETH020,Freo Amanate Gurage,Freo Amanate Gurage,, ,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,,,,,Main Ethiopia RIft,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Ethiopia,G-ETH021,Guddo,Guddo,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,,,,,Main Ethiopia RIft,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Ethiopia,G-ETH022,Guyah,Guyah,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,,,,,Main Ethiopia RIft,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Ethiopia,G-ETH023,Hailimarium Indara,Hailimarium Indara,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,,,,,Main Ethiopia RIft,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Oromia,G-ETH024,Kone,Kone,,2.6-0,1.3,Caldera,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,8.788,39.7,,,Main Ethiopia RIft,,Obsidian,"""Kone obsidian comes from a large caldera complex, composed of craters and cinder cones, following the badlands. The glass is typically black but may be green (Negash and Shackley 2006).""",,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Negash, Agazi, and M. S. Shackley. 2006. Geochemical Provenance of Obsidian Artefacts from the MSA Site in Porc Epic, Ethiopia. Archaeometry 48(1):1-12. ; Negash, Agazi, Mulugeta Alene, F. H. Brown, B. P. Nash, and M. S. Shackley. 2007. Geochemical Sources for the Terminal Pleistocene/Early Holocene Obsidian Artifacts of the Site of Beseka, Central Ethiopia. Journal of Archaeological Science 34:1205-1210. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC. ; Woldegabriel, Giday, James L. Aronson, and Robert C. Walter. 1990. Geology, Geochronology, and RIft Basin Development in the Central Sector of the Main Ethiopia Rift. Geology Society of America Bulletin 102:439-458.""",,,,,,,,,,,,,,,,,,,
