,CAN033,x,Hoodo Mountain,Hoodo Mountain A,,,,,,
,CAN034,,Hoodo Mountain,Hoodo Mountain B,,,,,,
,UOR066,x,Horse Mountain,Horse Mountain Variety 1,,,,,,
,UOR067,,Horse Mountain,Horse Mountain Variety 2,,,,,,
,UOR137,,Horse Mountain,Horse Mountain Group General,,,,,,
,UWA013,x,Hosko,Hosko A,,,,,,
,UWA014,,Hosko,Hosko B,,,,,,
,TKY012,x,Hotamis Dag,Hotamis Dag Group General,,,,,,
,TKY045,,Hotamis Dag,Acigöl (the wall of the maar),,,,,,
,TKY046,,Hotamis Dag,Acigöl-Bogazköy General,,,,,,
,TKY047,,Hotamis Dag,Acigöl-Bogazköy (the wall of the caldera),,,,,,
,TKY048,,Hotamis Dag,Acigöl-Güney Dagi,,,,,,
,TKY049,,Hotamis Dag,Acigöl-Kocadag,,,,,,
,TKY050,,Hotamis Dag,Acigöl-Taskesiktepe,,,,,,
,TKY052,,Hotamis Dag,East Acigöl 1,,,,,,
,TKY053,,Hotamis Dag,East Acigöl 2,,,,,,
,MEX083,x,Huitzila,Huitzila-1,,,,,,
,MEX084,,Huitzila,Huitzila-2,,,,,,
,MEX088,,Huitzila,Huitzila Group General,,,,,,
,JPN016,x,Ikutahara,Ikutahara Group General,,,,,,
,JPN089,,Ikutahara,Ikutahara-1,,,,,,
,JPN090,,Ikutahara,Ikutahara-2,,,,,,
,UOR070,x,Indian Creek Butte,Indian Creek Buttes A,,,,,,
,UOR071,,Indian Creek Butte,Indian Creek Buttes Variety B,,,,,,
,UOR072,x,Inman Creek,Inman Creek A,,,,,,
,UOR073,,Inman Creek,Inman Creek B,,,,,,
,YEM008,x,Isbil,Isbil 1,,,,,,
,YEM009,,Isbil,Isbil 2,,,,,,
,UID021,x,Jasper Flats,Jasper Flats 1,,,,,,
,UID022,,Jasper Flats,Jasper Flats 2,,,,,,
,UNV028,x,Kane Springs Wash Caldera,Kane Springs Wash Caldera Variety 1,,,,,,
,UNV029,,Kane Springs Wash Caldera,Kane Springs Wash Caldera Variety 2 (Kane Springs),,,,,,
,UNV066,,Kane Springs Wash Caldera,Kane Springs Wash Caldera Group General,,,,,,
,TKY016,x,Kars Arpacay,Kars Arpacay A,,,,,,
,TKY017,,Kars Arpacay,Kars Arpacay B,,,,,,
,KEN019,x,Kibikoni,Kibikoni Group General,,,,,,
,KEN069,,Kibikoni,Kibikoni 1,,,,,,
,KEN070,,Kibikoni,Kibikoni 2,,,,,,
,UOR077,x,Klamath Marsh,Klamath Marsh 1,,,,,,
,UOR078,,Klamath Marsh,Klamath Marsh 2,,,,,,
,tky019,x,Kömürcü,,,,,,,
,tky020,,Kömürcü,,,,,,,
,TKY056,,Kömürcü,Kömürcü Group General,,,,,,
,JPN025,x,Kouzushima,Kouzushima Group General,,,,,,
,JPN091,,Kouzushima,Kouzushima I,,,,,,
,JPN092,,Kouzushima,Kouzushima II,,,,,,
,JPN093,,Kouzushima,Kouzushima III,,,,,,
,JPN094,,Kouzushima,Kouzushima IV,,,,,,
,ICE008,x,Kviarjokull,Kviarjokull A,,,,,,
,ICE009,,Kviarjokull,Kviarjokull B,,,,,,
,ARG018,x,Laguna del Diamante,Laguna del Diamante Arroyo las Numeradas subsource,,,,,,
,ARG019,,Laguna del Diamante,Laguna del Diamante Arroyo Paramillos subsource,,,,,,
,CHL004,x,Laguna del Maule,Laguna del Maule-1 Santiago,,,,,,
,CHL005,,Laguna del Maule,Laguna del Maule-2 Santiago,,,,,,
,CHL012,,Laguna del Maule,Laguna del Maule Group General,,,,,,
,RUS034,x,Lake Kraseno,Lake Kraseno 1,,,,,,
,RUS035,,Lake Kraseno,Lake Kraseno 2,,,,,,
,RUS036,,Lake Kraseno,Lake Kraseno 3,,,,,,
,IRN001,x,Lake Urmia,Lake Urmia A,,,,,,
,IRN002,,Lake Urmia,Lake Urmia B,,,,,,
,IRN003,,Lake Urmia,Lake Urmia C,,,,,,
,ITL001,x,Lipari,Lipari Group General,,,,,,
,ITL013,,Lipari,Lipari - LIP1,,,,,,
,ITL014,,Lipari,Lipari - LST1,,,,,,
,UCA040,x,Los Guilicos,Los Guilicos A,,,,,,
,UCA041,,Los Guilicos,Los Guilicos B,,,,,,
,KEN055,x,Mackinder Valley,Mackinder Valley 1,,,,,,
,KEN056,,Mackinder Valley,Mackinder Valley 2,,,,,,
,KEN057,,Mackinder Valley,Mackinder Valley 3,,,,,,
,PER013,x,Macusani,Macusani-A,,,,,,
,PER014,,Macusani,Macusani-B,,,,,,
,UNV034,x,Meadow Valley Mountains Vitrophyre,Meadow Valley Mountains Vitrophyre Group,,,,,,
,UNV067,,Meadow Valley Mountains Vitrophyre,Meadow Valley Mountains Vitrophyre A,,,,,,
,UNV068,,Meadow Valley Mountains Vitrophyre,Meadow Valley Mountains Vitrophyre B,,,,,,
